food,expenses,label
708,1368,하위
637,2662,최상위
566,1869,중위
548,2073,상위
540,1195,중위
784,1099,극빈층
792,1076,극빈층
538,2346,최상위
795,2107,중위
504,1846,상위
593,1046,하위
522,1864,상위
536,2713,최상위
636,2392,상위
617,1271,중위
749,2961,상위
646,1135,하위
530,1938,상위
657,1780,중위
615,2580,최상위
520,1149,중위
589,1345,중위
667,2876,최상위
758,1512,하위
652,2024,중위
747,2616,상위
637,2818,최상위
509,1889,상위
563,1668,중위
635,2039,중위
800,2963,상위
553,1962,상위
621,2680,최상위
585,2574,최상위
665,2501,상위
739,1356,하위
578,1809,중위
744,2457,중위
757,1182,하위
595,2582,최상위
749,2215,중위
598,1713,중위
616,2732,최상위
719,1043,하위
678,1844,중위
669,1471,중위
609,2641,최상위
738,2320,중위
733,1522,중위
574,2629,최상위
762,1024,극빈층
696,2178,중위
785,1380,하위
644,2897,최상위
744,1364,하위
717,1843,중위
613,2408,상위
504,1998,상위
597,2554,최상위
688,2123,중위
769,2954,상위
686,1645,중위
654,2095,중위
547,1691,중위
578,2550,최상위
797,1626,중위
617,1935,중위
518,1332,중위
582,2117,상위
520,2741,최상위
556,2657,최상위
727,1114,하위
563,1145,중위
597,2229,상위
551,1074,하위
663,2959,최상위
787,1541,하위
701,2887,최상위
706,1456,중위
708,2805,상위
674,2155,중위
609,1854,중위
530,2946,최상위
794,1954,중위
574,1069,하위
550,1838,상위
750,2404,중위
633,2245,상위
711,1839,중위
606,2854,최상위
508,1875,상위
614,2578,최상위
589,2171,상위
610,2655,최상위
586,2804,최상위
577,1088,하위
772,1463,하위
785,2330,중위
711,2803,상위
688,1236,하위
580,2231,상위
636,2274,상위
611,2531,최상위
504,1188,중위
532,1604,중위
677,1206,하위
777,1263,하위
579,2998,최상위
639,2319,상위
782,1247,하위
702,2685,상위
567,1256,중위
534,2413,최상위
793,1956,중위
769,2841,상위
513,1521,중위
771,2299,중위
627,1531,중위
508,2171,최상위
800,2841,상위
777,2289,중위
675,1726,중위
762,2970,상위
612,1684,중위
750,2742,상위
782,2331,중위
774,2101,중위
527,1553,중위
596,2189,상위
679,2541,상위
797,2343,중위
775,1654,중위
725,1383,하위
532,2706,최상위
631,1055,하위
763,2197,중위
603,2025,상위
517,2840,최상위
615,1625,중위
793,2093,중위
554,1422,중위
725,2018,중위
504,2197,최상위
676,1938,중위
690,1336,하위
745,2352,중위
559,2246,최상위
591,2935,최상위
593,1728,중위
617,1411,중위
635,1971,중위
728,1709,중위
576,1189,중위
696,1348,하위
722,2443,상위
658,1054,하위
628,2216,상위
651,2623,최상위
656,2060,중위
781,1726,중위
676,1057,하위
767,2631,상위
685,2787,최상위
607,2819,최상위
509,2321,최상위
767,2121,중위
652,2327,상위
571,1473,중위
665,2623,상위
641,1591,중위
515,2053,상위
725,2108,중위
655,1181,하위
549,1482,중위
669,2973,최상위
635,1313,중위
778,2922,상위
670,2396,상위
759,2887,상위
531,2100,상위
695,1981,중위
578,1702,중위
681,2655,상위
503,2618,최상위
739,2176,중위
550,2844,최상위
735,1701,중위
769,1897,중위
744,1052,극빈층
628,2097,상위
650,1357,중위
788,2976,상위
512,1961,상위
724,1788,중위
734,1593,중위
533,2330,최상위
744,2071,중위
773,2189,중위
617,2179,상위
701,2753,상위
668,2422,상위
683,2353,상위
800,1583,하위
542,2521,최상위
577,2296,상위
639,2006,중위
742,1553,중위
610,2651,최상위
508,2690,최상위
602,1822,중위
744,2926,상위
680,2198,중위
675,2191,중위
754,2714,상위
508,2765,최상위
757,2985,상위
682,1926,중위
630,1427,중위
582,2279,상위
650,2887,최상위
566,1456,중위
616,1883,중위
765,2956,상위
571,1289,중위
645,2548,상위
574,2194,상위
675,1366,중위
632,2824,최상위
770,2435,중위
692,2984,최상위
780,2173,중위
676,2561,상위
533,1743,중위
732,1588,중위
691,2964,최상위
553,2455,최상위
787,1572,하위
518,2483,최상위
654,2783,최상위
693,2331,상위
597,1714,중위
503,1795,상위
619,1206,하위
633,2514,상위
570,2227,상위
717,1344,하위
757,1335,하위
588,2269,상위
601,2488,최상위
800,2795,상위
617,1950,중위
589,2238,상위
642,2624,최상위
752,2939,상위
720,1879,중위
789,2854,상위
585,2179,상위
635,2743,최상위
609,1644,중위
602,1271,중위
597,1925,중위
634,1761,중위
744,2790,상위
656,1572,중위
556,1485,중위
606,1843,중위
728,2657,상위
749,2042,중위
761,1485,하위
751,2324,중위
589,2718,최상위
750,1081,하위
637,1257,하위
775,1906,중위
643,2150,상위
540,1707,중위
510,2110,최상위
636,2088,중위
737,2481,상위
536,1310,중위
557,2008,상위
598,2420,최상위
636,2877,최상위
659,2400,상위
568,2468,최상위
724,2048,중위
644,1615,중위
738,1161,하위
598,2601,최상위
594,1623,중위
650,1813,중위
719,1444,중위
780,1544,하위
630,2515,상위
751,1666,중위
580,1333,중위
602,1083,하위
543,2358,최상위
692,2756,상위
670,1571,중위
555,1223,중위
519,2097,최상위
624,2644,최상위
662,2694,최상위
627,2304,상위
526,2868,최상위
537,2237,최상위
639,1985,중위
550,1003,하위
656,2714,최상위
599,2631,최상위
649,2999,최상위
765,1157,하위
719,2400,상위
766,1438,하위
731,2159,중위
532,1468,중위
606,1365,중위
635,1374,중위
583,1887,중위
614,2677,최상위
566,1338,중위
791,1778,중위
748,1947,중위
533,2188,최상위
766,2040,중위
691,2559,상위
647,2131,중위
593,2316,상위
600,2789,최상위
618,2490,최상위
653,1750,중위
770,2193,중위
559,1212,중위
765,2417,중위
660,2238,상위
758,2725,상위
787,1980,중위
661,1572,중위
684,1860,중위
555,2633,최상위
533,2801,최상위
723,2839,상위
635,1655,중위
691,1848,중위
630,1968,중위
566,1037,하위
626,1717,중위
793,1530,하위
686,2217,중위
707,2854,최상위
735,2487,상위
590,2539,최상위
773,2158,중위
567,2457,최상위
693,2727,상위
685,2427,상위
663,2194,중위
645,1268,하위
669,2563,상위
698,1476,중위
571,2725,최상위
575,1556,중위
684,2992,최상위
675,2648,상위
538,1903,상위
623,2989,최상위
579,2976,최상위
705,1376,하위
638,2311,상위
645,1728,중위
791,1109,극빈층
591,1662,중위
525,1075,중위
568,1764,중위
518,1587,중위
571,1955,상위
605,1125,하위
789,2946,상위
592,1962,중위
670,2516,상위
679,2145,중위
607,2055,상위
578,2078,상위
736,1642,중위
512,2197,최상위
601,1948,중위
507,2193,최상위
642,1114,하위
633,1737,중위
561,2881,최상위
687,2767,최상위
640,2122,중위
670,1320,하위
741,1623,중위
731,1929,중위
516,2566,최상위
501,1903,상위
638,2668,최상위
504,1375,중위
712,1449,중위
557,2294,최상위
555,1003,하위
651,2569,상위
770,2323,중위
547,2490,최상위
541,2745,최상위
501,1944,상위
723,1308,하위
